topic,recv_ns,a,b,c
wheel,1787282672634388346,0.0,0.0006155864684842527,0.00030779323424212635
odom,1787282672664575465,-0.00037736547686451023,0.0004043885266455784,0.00022551148086954822
wheel,1787282672734334045,-0.00030779323424212635,0.0,-0.00015389661712106317
odom,1787282672764013324,-0.00038454640361714723,0.000402597055512962,6.884127527588167e-05
wheel,1787282672834704178,-0.00030779323424212635,0.0,-0.00015389661712106317
odom,1787282672864431870,-0.000394809079263878,0.00040003136670371955,-2.6500381546701494e-05
wheel,1787282672934473989,0.0,0.0,0.0
odom,1787282672964568578,-0.00039518562666514387,0.00039993599566240124,-1.878276271539593e-05
wheel,1787282673034306389,0.0,0.0,0.0
odom,1787282673064359392,-0.0003954224307176384,0.000399876034788105,-1.3900655214822486e-05
wheel,1787282673155759498,0.0,0.0,0.0
odom,1787282673164357600,-0.00039557385024357913,0.00039983770115569297,-1.0764030956725816e-05
wheel,1787282673235558584,0.0,0.0,0.0
odom,1787282673265238408,-0.0003956728264694105,0.00039981264969524887,-8.704930862748516e-06
wheel,1787282673335194310,-0.00030779323424212635,0.0,-0.00015389661712106317
odom,1787282673365124566,-0.0004075000641278525,0.0003968504138777237,-7.283983567301746e-05
wheel,1787282673435422974,0.00030779323424212635,0.0,0.00015389661712106317
odom,1787282673465270461,-0.00039703065004071406,0.0003994725315972787,1.944127602359907e-05
wheel,1787282673535292640,0.0,0.0,0.0
odom,1787282673565296617,-0.000396580226206087,0.00039958539885141,1.0127999627385753e-05
wheel,1787282673655514150,-0.00030779323424212635,0.0,-0.00015389661712106317
odom,1787282673664983888,-0.00040807085091230233,0.00039670669226154353,-6.0988028641484413e-05
wheel,1787282673735558234,0.00030779323424212635,0.0,0.00015389661712106317
odom,1787282673765325545,-0.0003973948707848021,0.00039938156718279555,2.6999404389096065e-05
wheel,1787282673835173928,0.0,0.0012311729369685054,0.0006155864684842527
odom,1787282673864820430,-0.0003497757248430778,0.00041131480682225546,0.00027714073393460834
wheel,1787282673955670689,-0.0006155864684842527,0.0006155864684842527,0.0
odom,1787282673964835710,-0.0003444444095047639,0.0004126619432782107,0.0001667885691994449
wheel,1787282674055991974,0.0,0.0,0.0
odom,1787282674065436107,-0.00034118818198953333,0.00041348093992220835,9.942444133286198e-05
wheel,1787282674135608348,-0.00030779323424212635,0.0,-0.00015389661712106317
odom,1787282674165317710,-0.0003509605983232403,0.00041103087618288975,-7.165512545638259e-06
wheel,1787282674235551988,0.00030779323424212635,0.0,0.00015389661712106317
odom,1787282674265022834,-0.0003392409231200322,0.0004139685839924635,5.9161329955475734e-05
wheel,1787282674335199772,0.0,0.0,0.0
odom,1787282674364833653,-0.00033802319595693813,0.0004142737636300492,3.399331025198452e-05
wheel,1787282674435652837,-0.00030779323424212635,0.0,-0.00015389661712106317
odom,1787282674465263271,-0.0003490404670717722,0.00041150850381994246,-4.679838888009161e-05
wheel,1787282674535220664,0.00030779323424212635,0.0006155864684842527,0.0004616898513631895
odom,1787282674564588474,-0.00031457558868068063,0.00042016383094651026,0.000166341829128626
