PING 192.168.4.2 (192.168.4.2) 56(84) bytes of data.
[1787199755.098047] From 192.168.4.50 icmp_seq=81 Destination Host Unreachable
[1787199755.098427] From 192.168.4.50 icmp_seq=82 Destination Host Unreachable
[1787199755.098736] From 192.168.4.50 icmp_seq=83 Destination Host Unreachable
[1787199755.098979] From 192.168.4.50 icmp_seq=84 Destination Host Unreachable
[1787199755.099041] From 192.168.4.50 icmp_seq=85 Destination Host Unreachable
[1787199755.099090] From 192.168.4.50 icmp_seq=86 Destination Host Unreachable
[1787199755.099142] From 192.168.4.50 icmp_seq=87 Destination Host Unreachable
[1787199755.099185] From 192.168.4.50 icmp_seq=88 Destination Host Unreachable
[1787199758.234059] From 192.168.4.50 icmp_seq=89 Destination Host Unreachable
[1787199758.234519] From 192.168.4.50 icmp_seq=90 Destination Host Unreachable
[1787199758.234905] From 192.168.4.50 icmp_seq=91 Destination Host Unreachable
[1787199758.235280] From 192.168.4.50 icmp_seq=92 Destination Host Unreachable
[1787199758.235471] From 192.168.4.50 icmp_seq=93 Destination Host Unreachable
[1787199758.235538] From 192.168.4.50 icmp_seq=94 Destination Host Unreachable
[1787199758.235646] From 192.168.4.50 icmp_seq=95 Destination Host Unreachable
[1787199758.235707] From 192.168.4.50 icmp_seq=96 Destination Host Unreachable
[1787199761.370029] From 192.168.4.50 icmp_seq=97 Destination Host Unreachable
[1787199761.370488] From 192.168.4.50 icmp_seq=98 Destination Host Unreachable
[1787199761.370803] From 192.168.4.50 icmp_seq=99 Destination Host Unreachable
[1787199761.370994] From 192.168.4.50 icmp_seq=100 Destination Host Unreachable
[1787199761.371061] From 192.168.4.50 icmp_seq=101 Destination Host Unreachable
[1787199761.371118] From 192.168.4.50 icmp_seq=102 Destination Host Unreachable
[1787199761.371171] From 192.168.4.50 icmp_seq=103 Destination Host Unreachable
[1787199761.371431] From 192.168.4.50 icmp_seq=104 Destination Host Unreachable
[1787199764.505872] From 192.168.4.50 icmp_seq=105 Destination Host Unreachable
[1787199764.506004] From 192.168.4.50 icmp_seq=106 Destination Host Unreachable
[1787199764.506028] From 192.168.4.50 icmp_seq=107 Destination Host Unreachable
[1787199764.506048] From 192.168.4.50 icmp_seq=108 Destination Host Unreachable
[1787199764.506068] From 192.168.4.50 icmp_seq=109 Destination Host Unreachable
[1787199764.506086] From 192.168.4.50 icmp_seq=110 Destination Host Unreachable
