t_s,x,y,yaw,dtrans_m,drot_rad,cmd_lin,cmd_ang,stamp_age_s,moving
0.57,-0.0297,-0.0486,0.0384,,,0.0,0.0,-0.775,0
1.07,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.879,0
1.57,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.876,0
2.07,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.873,0
2.57,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.868,0
3.07,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.769,0
3.57,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.871,0
4.07,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.87,0
4.57,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.77,0
5.07,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.868,0
5.56,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.866,0
6.07,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.765,0
6.57,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.864,0
7.07,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.864,0
7.57,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.863,0
8.06,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.863,0
8.57,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.862,0
9.07,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.861,0
9.57,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.861,0
10.07,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.86,0
10.57,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.859,0
11.06,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.859,0
11.57,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.858,0
12.07,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.858,0
12.57,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.857,0
13.07,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.857,0
13.57,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.857,0
14.07,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.856,0
14.57,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.855,0
15.07,-0.0297,-0.0486,0.0384,0.0,0.0,0.0,0.0,-0.854,0
